2021-04-25 15:13:03,402 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 15:13:03 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 15:56:47,581 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 15:56:48,445 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 15:56:48,947 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-33813-1619366208602-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:56:49,156 | INFO  | Listening for connections at: tcp://49a5d4f11882:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:56:49,164 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:56:49,208 | INFO  | Listening for connections at: amqp://49a5d4f11882:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:56:49,216 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:56:49,229 | INFO  | Listening for connections at: stomp://49a5d4f11882:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:56:49,236 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:56:49,251 | INFO  | Listening for connections at: mqtt://49a5d4f11882:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:56:49,257 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:56:50,148 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-25 15:56:51,325 | INFO  | Listening for connections at ws://49a5d4f11882:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-25 15:56:51,327 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:56:51,333 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-33813-1619366208602-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:56:51,340 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:56:51,345 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 54916 mb of usable space. - resetting to maximum available disk space: 54916 mb | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:56:55,597 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-25 15:56:57,142 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:56:57,143 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:56:57,307 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-25 15:56:58,730 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-25 15:56:58,997 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-25 15:58:45,863 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 15:58:45 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 15:58:55,390 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:58:55,941 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 15:58:56,831 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 15:58:56,846 | INFO  | Recovery replayed 5 operations from the journal in 0.843 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 15:58:56,919 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 15:58:56,995 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-25 15:58:57,159 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 15:58:57,173 | INFO  | Recovery replayed 1 operations from the journal in 0.011 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 15:58:57,185 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 15:58:57,601 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-40689-1619366337047-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:58:58,073 | INFO  | Listening for connections at: tcp://49a5d4f11882:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:58:58,086 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:58:58,138 | INFO  | Listening for connections at: amqp://49a5d4f11882:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:58:58,147 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:58:58,188 | INFO  | Listening for connections at: stomp://49a5d4f11882:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:58:58,227 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:58:58,276 | INFO  | Listening for connections at: mqtt://49a5d4f11882:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 15:58:58,310 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:58:59,202 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@6d167f58{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-25 15:58:59,684 | INFO  | Listening for connections at ws://49a5d4f11882:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-25 15:58:59,699 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 15:58:59,719 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-40689-1619366337047-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:58:59,736 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:58:59,749 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 54919 mb of usable space. - resetting to maximum available disk space: 54919 mb | org.apache.activemq.broker.BrokerService | main
2021-04-25 15:59:05,742 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-25 15:59:07,249 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:59:07,260 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 15:59:07,928 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-25 15:59:10,142 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-25 15:59:10,968 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-25 16:02:34,772 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 16:02:34 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 16:02:43,982 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:02:44,436 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:02:45,526 | INFO  | Recovering from the journal @1:1573 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:02:45,555 | INFO  | Recovery replayed 23 operations from the journal in 1.045 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:02:45,635 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 16:02:45,673 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-25 16:02:45,848 | INFO  | Recovering from the scheduled job journal @1:100 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:02:45,856 | INFO  | Recovery replayed 1 operations from the journal in 0.009 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:02:45,870 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:02:46,210 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-36391-1619366565735-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:02:46,733 | INFO  | Listening for connections at: tcp://49a5d4f11882:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:02:46,779 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:02:46,858 | INFO  | Listening for connections at: amqp://49a5d4f11882:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:02:46,882 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:02:46,945 | INFO  | Listening for connections at: stomp://49a5d4f11882:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:02:46,949 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:02:47,033 | INFO  | Listening for connections at: mqtt://49a5d4f11882:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:02:47,037 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:02:48,032 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@6d167f58{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-25 16:02:48,396 | INFO  | Listening for connections at ws://49a5d4f11882:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-25 16:02:48,397 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:02:48,454 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-36391-1619366565735-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:02:48,457 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:02:48,461 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 54841 mb of usable space. - resetting to maximum available disk space: 54841 mb | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:02:54,768 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-25 16:02:56,055 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 16:02:56,057 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 16:02:56,517 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-25 16:02:58,993 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-25 16:02:59,977 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-25 16:09:45,794 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1979787155-44
2021-04-25 16:33:51,725 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 16:33:51 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 16:33:59,274 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:33:59,616 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:34:00,265 | INFO  | Recovering from the journal @1:6744 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:34:00,313 | INFO  | Recovery replayed 160 operations from the journal in 0.628 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:34:00,362 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 16:34:00,387 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-25 16:34:00,511 | INFO  | Recovering from the scheduled job journal @1:172 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:34:00,522 | INFO  | Recovery replayed 1 operations from the journal in 0.011 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:34:00,532 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:34:00,924 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-34923-1619368440404-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:34:01,930 | INFO  | Listening for connections at: tcp://49a5d4f11882:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:34:01,958 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:34:02,026 | INFO  | Listening for connections at: amqp://49a5d4f11882:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:34:02,044 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:34:02,106 | INFO  | Listening for connections at: stomp://49a5d4f11882:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:34:02,124 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:34:02,176 | INFO  | Listening for connections at: mqtt://49a5d4f11882:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-25 16:34:02,182 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:34:03,108 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@545b995e{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-25 16:34:03,745 | INFO  | Listening for connections at ws://49a5d4f11882:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-25 16:34:03,763 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-25 16:34:03,792 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-34923-1619368440404-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:34:03,808 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:34:03,813 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 54841 mb of usable space. - resetting to maximum available disk space: 54841 mb | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:34:08,657 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-25 16:34:10,805 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 16:34:10,809 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-25 16:34:11,380 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-25 16:34:13,963 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-25 16:34:14,813 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-25 16:36:27,572 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Apr 25 16:36:27 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-25 16:36:35,341 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-25 16:36:35,659 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:36:36,417 | INFO  | Recovering from the journal @1:29771 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:36:36,424 | INFO  | Recovery replayed 4 operations from the journal in 0.674 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-25 16:36:36,475 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-25 16:36:36,505 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-25 16:36:36,640 | INFO  | Recovering from the scheduled job journal @1:244 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:36:36,655 | INFO  | Recovery replayed 1 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:36:36,669 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-25 16:36:36,921 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:49a5d4f11882-38783-1619368596534-1:1) is starting | org.apache.activemq.broker.BrokerService | main
